MEANING	RULE	Ainu	Alaskan Yupik	Arabic	Balinese	Bezhta	Bora	Chintang	Emai	Even	Hoocąk	Icelandic	Italian	Jakarta Indonesian	Jaminjung	Japanese standard	Mandarin	Mandinka	Mapudungun	Nen	Nǀuu	Russian	Sliammon	Sri Lanka Malay	Xârâcùù	Yaqui	Yoruba	Zenzontepec Chatino
BRING	bringer	NA	NA	V.subj NP-nom	NA	NA	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NA	V.subj	Ø	NP-erg subj.V	NA	NA	Ø	V.subj	NP-erg & V.subj	NA	NA	V.sbj	Ø	Ø	Ø	Ø	Ø
BRING	bringing recipient	NA	NA	ʾilâ+NP-gen	NA	NA	NP-adl	NA	NA	NP-dat	NA	NA	a+NP	NA	NP-dat V=pro.dat	NA	NA	NP+ye	V.obj	NP-dat	NA	NA	NA	NA	xù+NP	NP-dir	NA	jiʔį̀+NP
BRING	brought thing	NA	NA	NP-acc	NA	NA	NP-acc	NA	NA	NP-acc	und.V	NA	Ø	Ø	NP-abs obj.V	NA	NA	NP+ti	Ø	NP-abs & obj.V	NA	NA	V.obj	NP-acc	Ø	NP-acc	Ø	jiʔį̀+NP
BUILD	builder	subj.V	NA	V.subj NP-nom	Ø	NA	Ø (NP-nom)	NA	NA	NP-nom V.subj	NA	NP-nom & V.subj	V.subj	Ø	NP-erg subj.V	NA	NA	Ø	NA	NP-erg & V.subj	Ø	NA	V.sbj	Ø	Ø	Ø	Ø	NA
BUILD	building material	instr	NA	min+NP-gen	aji+NP	NA	NP-abl	NA	NA	NP-abl	NA	úr+NP-dat	di+NP	NA	NA	NA	NA	NP+la	NA	NA	nla+NP	NA	NA	NA	ngê+NP	NA	fi+NP	NA
BUILD	built thing	obj.V	NA	NP-acc	Ø	NA	NP-acc	NA	NA	NP-acc	NA	NP-acc	Ø	Ø	NP-abs obj.V	NA	NA	Ø	NA	NP-abs & obj.V	Ø	NA	V.obj	NA	Ø	NP-acc	Ø	NA
BURN	burnt thing	subj.V	NA	V.subj NP-nom	Ø	NP-abs & absAgr.V	Ø (NP-nom)	NA	NA	NP-nom V.subj	und.V	NP-nom & V.subj	V.subj	NA	NP-abs subj.V	NA	NA	Ø	V.subj	NP-abs & V.subj	Ø	NA	V.sbj	NA	Ø	NA	Ø	NA
CARRY	carried thing	obj.V	NP-abs V.obj	NP-acc	Ø	NA	NP-acc	NA	NA	NP-acc	act.V	NP-acc	Ø	Ø	NP-abs obj.V	NA	Ø	NA	NA	NP-abs & obj.V	Ø	NA	V.obj	Ø	Ø	NP-acc	Ø	NA
CARRY	carrier	subj.V	NP-rel V.subj	V.subj NP-nom	Ø	NA	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	Ø	NP-erg subj.V	NA	Ø	NA	NA	NP-erg & V.subj	Ø	NA	V.sbj	Ø	Ø	Ø	Ø	NA
CARRY	carrying goal	dat	NP-all	ʾilâ+NP-gen	ke+NP	NA	NP-adl	NA	NA	NP-loc	-eeja/LOC	á+NP-acc	in/a/su+NP	NA	NP-all	NA	NA	NA	NA	NP-dat	NA	NA	NA	NP-dat	ti/tö+NP	NP-loc	NA	NA
